D0_L2,D0_mean,D0_std,D1_L2,D1_mean,D1_std,D_mf,D_mf_mean,D_mf_std,Z_mf,control,error,has_verify_l2,json,kind,lmax,n_sims,nside,p_two_sided_mf,run_id,run_role,seed,verify_l2_ok
0.09589104631871229,0.001071477261581318,0.00041850108427886145,173.19370348987783,13.984229360102269,1.940323892337566,173.19373003556592,13.98422940763483,1.9403238907150042,240.96976229073007,observed_planck_pr3__mf_v0_v1,,True,experiments/rgpx_proof_proto/cmb_phase_dagger/results/topology_mf_v0_v1/controls/lcdm_recon/runs/22220616512/lcdm_recon__mf_v0_v1__sim002__002__lmax192__nside256__phasesims2000__seed2402__run22220616512.json,planck_pr3_lensing_phi_topology_mf_v0_v1,192,2000,256,0.0009995002498750624,topology_mf_v0_v1,observed,2402,True
0.10370041719920363,0.002109369259998488,0.0010065181133138855,144.14466790672424,11.330107018748171,2.1025766009155826,144.14470520874622,11.330107247997194,2.1025766644834327,119.06988655902107,observed_planck_pr3__mf_v0_v1,,True,experiments/rgpx_proof_proto/cmb_phase_dagger/results/topology_mf_v0_v1/runs/22177351720/planck_lensing_topology_mf_v0_v1__lmax192__nside256__nsims2000__seed731__run22177351720.json,planck_pr3_lensing_phi_topology_mf_v0_v1,192,2000,256,0.0009995002498750624,topology_mf_v0_v1,observed,731,True
0.0032177503436146672,0.002109369259998488,0.0010065181133138855,10.054108902406368,11.330107018748171,2.1025766009155826,10.054109417316099,11.330107247997194,2.1025766644834327,1.2573560523916996,observed_planck_pr3__mf_v0_v1,,True,experiments/rgpx_proof_proto/cmb_phase_dagger/results/topology_mf_v0_v1/runs/22182697253/planck_lensing_topology_mf_v0_v1__lmax192__nside256__nsims2000__seed731__run22182697253.json,planck_pr3_lensing_phi_topology_mf_v0_v1,192,2000,256,0.5987006496751625,topology_mf_v0_v1,observed,731,True
0.10367381858181937,0.002096162263720024,0.0009770729272722903,143.94472609474022,11.161656539207563,1.9907692663184382,143.94476342941567,11.16165676899681,1.9907693212073432,123.5181533869838,observed_planck_pr3__mf_v0_v1,,True,experiments/rgpx_proof_proto/cmb_phase_dagger/results/topology_mf_v0_v1/runs/22221548834/planck_lensing_topology_mf_v0_v1__lmax192__nside256__nsims2000__seed2400__run22221548834.json,planck_pr3_lensing_phi_topology_mf_v0_v1,192,2000,256,0.0009995002498750624,topology_mf_v0_v1,observed,2400,True
0.00224199010816852,0.004167606791833421,0.002760073637343781,13.984100227469769,22.277138465907793,7.417310494106058,13.984100407192438,22.277138910322975,7.417310843635653,1.3178815215157302,observed_planck_pr3__mf_v0_v1,,True,experiments/rgpx_proof_proto/cmb_phase_dagger/results/topology_mf_v0_v1/controls/gaussian/runs/22181076396/gaussian_control__mf_v0_v1__lmax256__nside256__nsims2000__seed731__gauss901__run22181076396.json,planck_pr3_lensing_phi_topology_mf_v0_v1,256,2000,256,0.11794102948525736,topology_mf_v0_v1,observed,731,True
,,,,,,,,,,observed_planck_pr3__mf_v0_v1,missing_verify_l2,False,experiments/rgpx_proof_proto/cmb_phase_dagger/results/topology_mf_v0_v1/controls/lcdm_recon/runs/22135163494/lcdm_recon__mf_v0_v1__sim000__000__lmax256__nside256__phasesims2000__seed1400__run22135163494.json,planck_pr3_lensing_phi_topology_mf_v0_v1,256,2000,256,0.0009995002498750624,topology_mf_v0_v1,observed,1400,False
,,,,,,,,,,observed_planck_pr3__mf_v0_v1,missing_verify_l2,False,experiments/rgpx_proof_proto/cmb_phase_dagger/results/topology_mf_v0_v1/controls/lcdm_recon/runs/22135163494/lcdm_recon__mf_v0_v1__sim001__001__lmax256__nside256__phasesims2000__seed1401__run22135163494.json,planck_pr3_lensing_phi_topology_mf_v0_v1,256,2000,256,0.0009995002498750624,topology_mf_v0_v1,observed,1401,False
,,,,,,,,,,observed_planck_pr3__mf_v0_v1,missing_verify_l2,False,experiments/rgpx_proof_proto/cmb_phase_dagger/results/topology_mf_v0_v1/controls/lcdm_recon/runs/22135163494/lcdm_recon__mf_v0_v1__sim002__002__lmax256__nside256__phasesims2000__seed1402__run22135163494.json,planck_pr3_lensing_phi_topology_mf_v0_v1,256,2000,256,0.0009995002498750624,topology_mf_v0_v1,observed,1402,False
0.10779896554559013,0.0012530423887111898,0.0005592347175236829,198.230614348757,15.5067480319504,2.2151368158113907,198.23064365960826,15.50674809208854,2.215136819787935,207.6117091723432,observed_planck_pr3__mf_v0_v1,,True,experiments/rgpx_proof_proto/cmb_phase_dagger/results/topology_mf_v0_v1/controls/lcdm_recon/runs/22216941911/lcdm_recon__mf_v0_v1__sim000__000__lmax256__nside256__phasesims2000__seed1400__run22216941911.json,planck_pr3_lensing_phi_topology_mf_v0_v1,256,2000,256,0.0009995002498750624,topology_mf_v0_v1,observed,1400,True
0.10286083371718668,0.002155899170140855,0.0010805277802055703,202.10793020149254,14.760614657168636,2.830555989838874,202.10795637649323,14.76061484063777,2.8305560602884303,114.31087499492946,observed_planck_pr3__mf_v0_v1,,True,experiments/rgpx_proof_proto/cmb_phase_dagger/results/topology_mf_v0_v1/controls/lcdm_recon/runs/22216941911/lcdm_recon__mf_v0_v1__sim001__001__lmax256__nside256__phasesims2000__seed1401__run22216941911.json,planck_pr3_lensing_phi_topology_mf_v0_v1,256,2000,256,0.0009995002498750624,topology_mf_v0_v1,observed,1401,True
0.09855721973792307,0.0008176699460430976,0.00029122382922163375,254.19548100235778,18.879875386015364,2.6263719383877215,254.19550010876588,18.879875406224798,2.6263719365305795,347.37034852752856,observed_planck_pr3__mf_v0_v1,,True,experiments/rgpx_proof_proto/cmb_phase_dagger/results/topology_mf_v0_v1/controls/lcdm_recon/runs/22216941911/lcdm_recon__mf_v0_v1__sim002__002__lmax256__nside256__phasesims2000__seed1402__run22216941911.json,planck_pr3_lensing_phi_topology_mf_v0_v1,256,2000,256,0.0009995002498750624,topology_mf_v0_v1,observed,1402,True
,,,,,,,,,,observed_planck_pr3__mf_v0_v1,missing_verify_l2,False,experiments/rgpx_proof_proto/cmb_phase_dagger/results/topology_mf_v0_v1/runs/22140054485/planck_lensing_topology_mf_v0_v1__lmax256__nside256__nsims2000__seed731__run22140054485.json,planck_pr3_lensing_phi_topology_mf_v0_v1,256,2000,256,0.0009995002498750624,topology_mf_v0_v1,observed,731,False
,,,,,,,,,,observed_planck_pr3__mf_v0_v1,missing_verify_l2,False,experiments/rgpx_proof_proto/cmb_phase_dagger/results/topology_mf_v0_v1/runs/22140852340/planck_lensing_topology_mf_v0_v1__lmax256__nside256__nsims2000__seed731__run22140852340.json,planck_pr3_lensing_phi_topology_mf_v0_v1,256,2000,256,0.0009995002498750624,topology_mf_v0_v1,observed,731,False
