control,gc_v0_mean_bump_count,gc_v0_mean_d2_sign_changes,gc_v0_mean_fwhm,gc_v0_mean_nu_peak,gc_v0_mean_peak_height,gc_v0_mean_shape_energy,gc_v0_obs_bump_count,gc_v0_obs_d2_sign_changes,gc_v0_obs_fwhm,gc_v0_obs_nu_peak,gc_v0_obs_peak_height,gc_v0_obs_shape_energy,gc_v1_mean_bump_count,gc_v1_mean_d2_sign_changes,gc_v1_mean_fwhm,gc_v1_mean_nu_peak,gc_v1_mean_peak_height,gc_v1_mean_shape_energy,gc_v1_obs_bump_count,gc_v1_obs_d2_sign_changes,gc_v1_obs_fwhm,gc_v1_obs_nu_peak,gc_v1_obs_peak_height,gc_v1_obs_shape_energy,json,kind,lmax,n_sims,nside,p_two_sided_mf,run_id,run_role,seed
observed_planck_pr3__mf_v0_v1,0,1,3.1,-3.0,0.9983794523874922,1.5770602868008148,0,1,3.1,-3.0,0.994042714436849,1.5887656234833019,1,2,2.5,0.0,843.4163494069809,1130.837659304918,1,27,2.0999999999999996,0.10000000000000009,879.2779745296534,1000.6392142304983,experiments/rgpx_proof_proto/cmb_phase_dagger/results/topology_mf_v0_v1/controls/lcdm_recon/runs/22220616512/lcdm_recon__mf_v0_v1__sim002__002__lmax192__nside256__phasesims2000__seed2402__run22220616512.json,planck_pr3_lensing_phi_topology_mf_v0_v1,192,2000,256,0.0009995002498750624,topology_mf_v0_v1,observed,2402
observed_planck_pr3__mf_v0_v1,0,1,3.1,-3.0,0.9992494837443026,1.57595337452588,0,3,3.0,-3.0,0.999969482421875,1.5764036778147485,1,2,2.5,0.20000000000000018,608.3316558526209,811.524026061859,3,10,2.1999999999999997,0.5,609.9313479531125,788.4827713320885,experiments/rgpx_proof_proto/cmb_phase_dagger/results/topology_mf_v0_v1/runs/22177351720/planck_lensing_topology_mf_v0_v1__lmax192__nside256__nsims2000__seed731__run22177351720.json,planck_pr3_lensing_phi_topology_mf_v0_v1,192,2000,256,0.0009995002498750624,topology_mf_v0_v1,observed,731
observed_planck_pr3__mf_v0_v1,0,1,3.1,-3.0,0.9992494837443026,1.57595337452588,0,1,3.1,-3.0,0.9989954630533854,1.5761879419459093,1,2,2.5,0.20000000000000018,608.3316558526209,811.524026061859,1,8,2.4000000000000004,0.20000000000000018,623.0071742056542,815.7312646247648,experiments/rgpx_proof_proto/cmb_phase_dagger/results/topology_mf_v0_v1/runs/22182697253/planck_lensing_topology_mf_v0_v1__lmax192__nside256__nsims2000__seed731__run22182697253.json,planck_pr3_lensing_phi_topology_mf_v0_v1,192,2000,256,0.5987006496751625,topology_mf_v0_v1,observed,731
observed_planck_pr3__mf_v0_v1,0,1,3.1,-3.0,0.9992522271474182,1.5759454097972572,0,3,3.0,-3.0,0.999969482421875,1.5764036778147485,1,2,2.5,0.20000000000000018,608.2162660738815,811.72994845872,3,10,2.1999999999999997,0.5,609.9313479531125,788.4827713320885,experiments/rgpx_proof_proto/cmb_phase_dagger/results/topology_mf_v0_v1/runs/22221548834/planck_lensing_topology_mf_v0_v1__lmax192__nside256__nsims2000__seed2400__run22221548834.json,planck_pr3_lensing_phi_topology_mf_v0_v1,192,2000,256,0.0009995002498750624,topology_mf_v0_v1,observed,2400
observed_planck_pr3__mf_v0_v1,0,1,3.1,-3.0,0.998627175013223,1.5767843230240441,0,1,3.1,-3.0,0.9988136291503906,1.57650934170414,1,2,2.5,-0.09999999999999964,906.5473603435482,1210.4205238977534,2,11,2.5,-0.19999999999999973,913.0206478100632,1212.7805788880366,experiments/rgpx_proof_proto/cmb_phase_dagger/results/topology_mf_v0_v1/controls/gaussian/runs/22181076396/gaussian_control__mf_v0_v1__lmax256__nside256__nsims2000__seed731__gauss901__run22181076396.json,planck_pr3_lensing_phi_topology_mf_v0_v1,256,2000,256,0.11794102948525736,topology_mf_v0_v1,observed,731
observed_planck_pr3__mf_v0_v1,0,1,3.0,-3.0,0.9991786607106531,1.576332580976136,0,3,2.8000000000000003,-3.0,0.9996757507324219,1.579375523469303,1,2,2.5,0.10000000000000009,925.9310221796227,1244.670274026021,3,13,2.7,0.30000000000000027,851.6957298486395,1165.258791792443,experiments/rgpx_proof_proto/cmb_phase_dagger/results/topology_mf_v0_v1/controls/lcdm_recon/runs/22135163494/lcdm_recon__mf_v0_v1__sim000__000__lmax256__nside256__phasesims2000__seed1400__run22135163494.json,planck_pr3_lensing_phi_topology_mf_v0_v1,256,2000,256,0.0009995002498750624,topology_mf_v0_v1,observed,1400
observed_planck_pr3__mf_v0_v1,0,1,3.1,-3.0,0.9992759462992347,1.5758510264779089,0,3,3.0,-3.0,0.9999605814615885,1.575774613539868,1,2,2.4000000000000004,0.30000000000000027,789.3527426675721,1045.688827304035,3,15,2.0999999999999996,0.5,811.5655852448426,1028.1035576092204,experiments/rgpx_proof_proto/cmb_phase_dagger/results/topology_mf_v0_v1/controls/lcdm_recon/runs/22135163494/lcdm_recon__mf_v0_v1__sim001__001__lmax256__nside256__phasesims2000__seed1401__run22135163494.json,planck_pr3_lensing_phi_topology_mf_v0_v1,256,2000,256,0.0009995002498750624,topology_mf_v0_v1,observed,1401
observed_planck_pr3__mf_v0_v1,0,1,3.1,-3.0,0.9984188194274897,1.5770628412636698,0,1,3.1,-3.0,0.9940541585286459,1.5895091527169285,1,2,2.4000000000000004,0.0,1170.671209682622,1566.8813105153195,1,18,2.0999999999999996,0.10000000000000009,1209.495483485279,1368.8628906749466,experiments/rgpx_proof_proto/cmb_phase_dagger/results/topology_mf_v0_v1/controls/lcdm_recon/runs/22135163494/lcdm_recon__mf_v0_v1__sim002__002__lmax256__nside256__phasesims2000__seed1402__run22135163494.json,planck_pr3_lensing_phi_topology_mf_v0_v1,256,2000,256,0.0009995002498750624,topology_mf_v0_v1,observed,1402
observed_planck_pr3__mf_v0_v1,0,1,3.0,-3.0,0.9991786607106531,1.576332580976136,0,3,2.8000000000000003,-3.0,0.9996757507324219,1.579375523469303,1,2,2.5,0.10000000000000009,925.9310221796227,1244.670274026021,3,13,2.7,0.30000000000000027,851.6957298486395,1165.258791792443,experiments/rgpx_proof_proto/cmb_phase_dagger/results/topology_mf_v0_v1/controls/lcdm_recon/runs/22216941911/lcdm_recon__mf_v0_v1__sim000__000__lmax256__nside256__phasesims2000__seed1400__run22216941911.json,planck_pr3_lensing_phi_topology_mf_v0_v1,256,2000,256,0.0009995002498750624,topology_mf_v0_v1,observed,1400
observed_planck_pr3__mf_v0_v1,0,1,3.1,-3.0,0.9992759462992347,1.5758510264779089,0,3,3.0,-3.0,0.9999605814615885,1.575774613539868,1,2,2.4000000000000004,0.30000000000000027,789.3527426675721,1045.688827304035,3,15,2.0999999999999996,0.5,811.5655852448426,1028.1035576092204,experiments/rgpx_proof_proto/cmb_phase_dagger/results/topology_mf_v0_v1/controls/lcdm_recon/runs/22216941911/lcdm_recon__mf_v0_v1__sim001__001__lmax256__nside256__phasesims2000__seed1401__run22216941911.json,planck_pr3_lensing_phi_topology_mf_v0_v1,256,2000,256,0.0009995002498750624,topology_mf_v0_v1,observed,1401
observed_planck_pr3__mf_v0_v1,0,1,3.1,-3.0,0.9984188194274897,1.5770628412636698,0,1,3.1,-3.0,0.9940541585286459,1.5895091527169285,1,2,2.4000000000000004,0.0,1170.671209682622,1566.8813105153195,1,18,2.0999999999999996,0.10000000000000009,1209.495483485279,1368.8628906749466,experiments/rgpx_proof_proto/cmb_phase_dagger/results/topology_mf_v0_v1/controls/lcdm_recon/runs/22216941911/lcdm_recon__mf_v0_v1__sim002__002__lmax256__nside256__phasesims2000__seed1402__run22216941911.json,planck_pr3_lensing_phi_topology_mf_v0_v1,256,2000,256,0.0009995002498750624,topology_mf_v0_v1,observed,1402
observed_planck_pr3__mf_v0_v1,0,1,3.0,-3.0,0.9991791165669769,1.5763322894830922,0,3,2.8000000000000003,-3.0,0.9996757507324219,1.579375523469303,1,2,2.5,0.10000000000000009,926.0321836256406,1244.7394643276566,3,13,2.7,0.30000000000000027,851.6957298486395,1165.258791792443,experiments/rgpx_proof_proto/cmb_phase_dagger/results/topology_mf_v0_v1/runs/22140054485/planck_lensing_topology_mf_v0_v1__lmax256__nside256__nsims2000__seed731__run22140054485.json,planck_pr3_lensing_phi_topology_mf_v0_v1,256,2000,256,0.0009995002498750624,topology_mf_v0_v1,observed,731
observed_planck_pr3__mf_v0_v1,0,1,3.0,-3.0,0.9991791165669769,1.5763322894830922,0,3,2.8000000000000003,-3.0,0.9996757507324219,1.579375523469303,1,2,2.5,0.10000000000000009,926.0321836256406,1244.7394643276566,3,13,2.7,0.30000000000000027,851.6957298486395,1165.258791792443,experiments/rgpx_proof_proto/cmb_phase_dagger/results/topology_mf_v0_v1/runs/22140852340/planck_lensing_topology_mf_v0_v1__lmax256__nside256__nsims2000__seed731__run22140852340.json,planck_pr3_lensing_phi_topology_mf_v0_v1,256,2000,256,0.0009995002498750624,topology_mf_v0_v1,observed,731
observed_planck_pr3__mf_v0_v1,0,1,3.0,-3.0,0.9991791165669769,1.5763322894830922,0,3,2.8000000000000003,-3.0,0.9996757507324219,1.579375523469303,1,2,2.5,0.10000000000000009,926.0321836256406,1244.7394643276566,3,13,2.7,0.30000000000000027,851.6957298486395,1165.258791792443,experiments/rgpx_proof_proto/cmb_phase_dagger/results/topology_mf_v0_v1/runs/22141380847/planck_lensing_topology_mf_v0_v1__lmax256__nside256__nsims2000__seed731__run22141380847.json,planck_pr3_lensing_phi_topology_mf_v0_v1,256,2000,256,0.0009995002498750624,topology_mf_v0_v1,observed,731
observed_planck_pr3__mf_v0_v1,0,1,3.0,-3.0,0.9991791165669769,1.5763322894830922,0,3,2.8000000000000003,-3.0,0.9996757507324219,1.579375523469303,1,2,2.5,0.10000000000000009,926.0321836256406,1244.7394643276566,3,13,2.7,0.30000000000000027,851.6957298486395,1165.258791792443,experiments/rgpx_proof_proto/cmb_phase_dagger/results/topology_mf_v0_v1/runs/22142181071/planck_lensing_topology_mf_v0_v1__lmax256__nside256__nsims2000__seed731__run22142181071.json,planck_pr3_lensing_phi_topology_mf_v0_v1,256,2000,256,0.0009995002498750624,topology_mf_v0_v1,observed,731
observed_planck_pr3__mf_v0_v1,0,1,3.0,-3.0,0.9991791165669769,1.5763322894830922,0,1,3.0,-3.0,0.9990348815917969,1.5763469058915685,1,2,2.5,0.10000000000000009,926.0321836256406,1244.7394643276566,1,15,2.3999999999999995,0.20000000000000018,937.0859670798358,1244.0370020719643,experiments/rgpx_proof_proto/cmb_phase_dagger/results/topology_mf_v0_v1/runs/22147294523/planck_lensing_topology_mf_v0_v1__lmax256__nside256__nsims2000__seed731__run22147294523.json,planck_pr3_lensing_phi_topology_mf_v0_v1,256,2000,256,0.7876061969015492,topology_mf_v0_v1,observed,731
observed_planck_pr3__mf_v0_v1,0,1,3.0,-3.0,0.9991791165669769,1.5763322894830922,0,3,2.8000000000000003,-3.0,0.9996757507324219,1.579375523469303,1,2,2.5,0.10000000000000009,926.0321836256406,1244.7394643276566,3,13,2.7,0.30000000000000027,851.6957298486395,1165.258791792443,experiments/rgpx_proof_proto/cmb_phase_dagger/results/topology_mf_v0_v1/runs/22154382423/planck_lensing_topology_mf_v0_v1__lmax256__nside256__nsims2000__seed731__run22154382423.json,planck_pr3_lensing_phi_topology_mf_v0_v1,256,2000,256,0.0009995002498750624,topology_mf_v0_v1,observed,731
observed_planck_pr3__mf_v0_v1,0,1,3.0,-3.0,0.9991791165669769,1.5763322894830922,0,3,2.8000000000000003,-3.0,0.9996757507324219,1.579375523469303,1,2,2.5,0.10000000000000009,926.0321836256406,1244.7394643276566,3,13,2.7,0.30000000000000027,851.6957298486395,1165.258791792443,experiments/rgpx_proof_proto/cmb_phase_dagger/results/topology_mf_v0_v1/runs/22174563334/planck_lensing_topology_mf_v0_v1__lmax256__nside256__nsims2000__seed731__run22174563334.json,planck_pr3_lensing_phi_topology_mf_v0_v1,256,2000,256,0.0009995002498750624,topology_mf_v0_v1,observed,731
observed_planck_pr3__mf_v0_v1,0,1,3.0,-3.0,0.9991791165669769,1.5763322894830922,0,1,3.0,-3.0,0.9990348815917969,1.5763469058915685,1,2,2.5,0.10000000000000009,926.0321836256406,1244.7394643276566,1,15,2.3999999999999995,0.20000000000000018,937.0859670798358,1244.0370020719643,experiments/rgpx_proof_proto/cmb_phase_dagger/results/topology_mf_v0_v1/runs/22175256542/planck_lensing_topology_mf_v0_v1__lmax256__nside256__nsims2000__seed731__run22175256542.json,planck_pr3_lensing_phi_topology_mf_v0_v1,256,2000,256,0.7876061969015492,topology_mf_v0_v1,observed,731
observed_planck_pr3__mf_v0_v1,0,1,3.0,-3.0,0.9991791165669769,1.5763322894830922,0,3,2.8000000000000003,-3.0,0.9996757507324219,1.579375523469303,1,2,2.5,0.10000000000000009,926.0321836256406,1244.7394643276566,3,13,2.7,0.30000000000000027,851.6957298486395,1165.258791792443,experiments/rgpx_proof_proto/cmb_phase_dagger/results/topology_mf_v0_v1/runs/22177371714/planck_lensing_topology_mf_v0_v1__lmax256__nside256__nsims2000__seed731__run22177371714.json,planck_pr3_lensing_phi_topology_mf_v0_v1,256,2000,256,0.0009995002498750624,topology_mf_v0_v1,observed,731
observed_planck_pr3__mf_v0_v1,0,1,3.0,-3.0,0.9991744677225756,1.5763349495048706,0,3,2.8000000000000003,-3.0,0.9996757507324219,1.579375523469303,1,2,2.5,0.10000000000000009,926.2104442270942,1244.89393276028,3,13,2.7,0.30000000000000027,851.6957298486395,1165.258791792443,experiments/rgpx_proof_proto/cmb_phase_dagger/results/topology_mf_v0_v1/runs/22221615597/planck_lensing_topology_mf_v0_v1__lmax256__nside256__nsims2000__seed2400__run22221615597.json,planck_pr3_lensing_phi_topology_mf_v0_v1,256,2000,256,0.0009995002498750624,topology_mf_v0_v1,observed,2400
observed_planck_pr3__mf_v0_v1,0,1,3.1,-3.0,0.9986724866231274,1.5767732478158096,0,1,3.1,-3.0,0.9985694885253906,1.5768301137963046,1,2,2.5,0.0,1255.0825386696179,1674.9601928811178,1,16,2.5,0.0,1265.1787717781106,1680.5706751460712,experiments/rgpx_proof_proto/cmb_phase_dagger/results/topology_mf_v0_v1/controls/gaussian/runs/22182497771/gaussian_control__mf_v0_v1__lmax320__nside256__nsims2000__seed731__gauss901__run22182497771.json,planck_pr3_lensing_phi_topology_mf_v0_v1,320,2000,256,0.656671664167916,topology_mf_v0_v1,observed,731
observed_planck_pr3__mf_v0_v1,0,1,3.0,-3.0,0.9991148236592611,1.576578223180445,0,3,2.7,-3.0,0.9991963704427084,1.5819879698755357,1,2,2.5,0.10000000000000009,1259.5010530171949,1692.3682296221664,3,12,2.7,-0.5999999999999996,1090.736855746836,1537.7027449194604,experiments/rgpx_proof_proto/cmb_phase_dagger/results/topology_mf_v0_v1/runs/22177393266/planck_lensing_topology_mf_v0_v1__lmax320__nside256__nsims2000__seed731__run22177393266.json,planck_pr3_lensing_phi_topology_mf_v0_v1,320,2000,256,0.0009995002498750624,topology_mf_v0_v1,observed,731
observed_planck_pr3__mf_v0_v1,0,1,3.0,-3.0,0.9991148236592611,1.576578223180445,0,1,3.0,-3.0,0.9990259806315104,1.5765987537809656,1,2,2.5,0.10000000000000009,1259.5010530171949,1692.3682296221664,2,13,2.6000000000000005,0.10000000000000009,1253.3347139296588,1694.120469107747,experiments/rgpx_proof_proto/cmb_phase_dagger/results/topology_mf_v0_v1/runs/22182720612/planck_lensing_topology_mf_v0_v1__lmax320__nside256__nsims2000__seed731__run22182720612.json,planck_pr3_lensing_phi_topology_mf_v0_v1,320,2000,256,0.670664667666167,topology_mf_v0_v1,observed,731
