lmax,run_id,seed0,nside,n_phase_sims,sims_used,D0_mean,D0_std,D0_min,D0_max,D1_mean,D1_std,D1_min,D1_max,Dmf_mean,Dmf_std,Dmf_min,Dmf_max
128,22222586023,2400,256,2000,"000,001,002",0.09603697197041433,0.007141872497545809,0.08884731601729827,0.10577518253425022,107.00102588504497,8.45955720773156,99.48887390756009,118.82071407469972,107.00106903167476,8.459559609580547,99.48891783248308,118.82076115566163
192,22220616512,2400,256,2000,"000,001,002",0.09936283615234698,0.003232240624760569,0.09589104631871229,0.10367381858181937,159.70749440156627,12.048864706460112,143.94472609474022,173.19370348987783,159.70752568253417,12.048860216807748,143.94476342941567,173.19373003556592
256,22216941911,1400,256,2000,"000,001,002",0.10307233966689995,0.0037758899585356898,0.09855721973792307,0.10779896554559013,218.17800851753577,25.51734230808075,198.230614348757,254.19548100235778,218.17803338162244,25.5173381652135,198.23064365960826,254.19550010876588
