lmax,run_id,peak_mean,peak_min,peak_max,mode_idx,mode_nu
128,22222586023,450.2751889039418,392.8675989328811,558.1686542120513,32,0.20000000000000018
192,22220616512,696.5181379994771,600.3450915156656,879.2779745296534,35,0.5
256,22216941911,957.5855995262536,811.5655852448426,1209.495483485279,31,0.10000000000000009
